Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
Ti2S6,0.0,-0.991,0,pmmn,0.295,,1.452,0.295,,1.452,-5.091,-5.238,,-5.385,-45.778,0.0,0.0,AB3,4.85
CdGa2S4,0.079,-0.621,0,p-3m1,0.496,,1.453,0.496,,1.453,-4.778,-5.026,,-5.274,-27.394,0.0,0.0,AB2C4,3.025
Cu4Se4Cl4,0.003,-0.351,0,p2_1/b11,0.872,,1.454,0.872,,1.464,-5.853,-6.289,,-6.725,-39.985,0.0,0.0,ABC,1.737
Pt4I4SeS3,0.05,-0.259,0,p1,0.641,,1.455,0.775,,1.556,-4.457,-4.777,,-5.098,-50.159,0.0,0.0,AB3C4D4,3.718
Hf2Te2O2,0.049,-2.125,0,p4/nmm,0.635,,1.457,0.856,,1.672,-4.265,-4.582,,-4.9,-44.42,0.0,0.0,ABC,5.685
TiSe2,0.126,-1.005,0,p-6m2,0.522,1.481,1.46,0.867,2.174,2.046,-5.571,-5.832,,-6.093,-16.67,0.0,0.0,AB2,3.98
Tl2Ni4S6,0.002,-0.374,0,p-3m1,0.844,,1.462,0.868,,1.543,-3.762,-4.183,,-4.605,-62.943,0.0,0.0,AB2C3,1.767
PtMn2SeS5,0.032,-0.481,1,cm11,0.525,,1.467,0.709,,1.674,-5.259,-5.521,,-5.784,-53.991,0.984,1.166,ABC2D5,3.633
Tl4O2,0.0,-0.586,0,p-3m1,0.819,,1.469,0.819,,1.469,-3.947,-4.356,,-4.766,-23.755,0.0,0.0,AB2,3.408
HfCl2,0.007,-1.54,0,p-6m2,0.908,2.092,1.471,1.723,2.88,2.343,-2.791,-3.245,,-3.699,-15.696,0.0,0.0,AB2,4.035
Pd2I4,0.036,-0.218,0,p2_1/b11,0.595,,1.472,0.841,,1.779,-4.798,-5.096,,-5.393,-14.861,0.0,0.0,AB2,2.955
NbInBr6,0.006,-0.911,0,p312,0.792,,1.473,0.792,,1.474,-5.064,-5.46,,-5.856,-29.883,0.0,0.0,ABC6,2.498
BiIS,0.014,-0.412,0,p3m1,0.777,2.042,1.474,0.827,2.175,1.602,-5.434,-5.822,,-6.211,-11.467,0.0,0.0,ABC,3.283
Bi2Sb2Se6,0.092,-0.234,0,p31m,0.937,,1.474,0.938,,1.482,-4.551,-5.019,,-5.488,-41.396,0.0,0.0,ABC3,3.562
Hf2Cl4,0.044,-1.503,0,p2_1/m11,0.852,,1.475,0.883,,1.475,-3.619,-4.045,,-4.471,-31.169,0.0,0.0,AB2,3.914
Tl2Se5,0.051,-0.105,0,c211,0.862,,1.475,0.921,,1.481,-4.582,-5.013,,-5.444,-23.146,0.0,0.0,A2B5,1.627
SnSeS,0.01,-0.364,0,p3m1,0.837,,1.476,1.366,,2.064,-5.263,-5.682,,-6.101,-12.71,0.0,0.0,ABC,3.623
Te6Ge2Al2,0.014,-0.25,0,p-31m,0.943,,1.476,0.943,,1.516,-4.098,-4.569,,-5.041,-38.239,0.0,0.0,ABC3,2.079
Nb3SeBr7,0.0,-1.017,0,p3m1,0.76,,1.477,0.76,,1.477,-4.579,-4.959,,-5.339,-56.744,0.0,0.0,AB3C7,1.865
Au2Cl2,0.037,-0.2,0,c2/m11,1.118,,1.477,1.124,,1.477,-5.648,-6.207,,-6.765,-10.63,0.0,0.0,AB,3.528
Te12Ga8,0.0,-0.33,0,p2_1/b11,0.899,,1.48,0.899,,1.48,-3.73,-4.18,,-4.629,-68.294,0.0,0.0,A2B3,1.769
Te2Ge2,0.09,-0.004,0,pmmn,1.065,,1.483,1.152,,1.52,-3.547,-4.079,,-4.611,-15.455,0.0,0.0,AB,2.668
Au4I4Se4,0.0,-0.09,0,p2_1/b11,0.85,,1.484,0.94,,1.539,-5.067,-5.492,,-5.916,-33.443,0.0,0.0,ABC,1.918
VAl2S4,0.058,-0.981,1,p-3m1,0.008,,1.486,0.052,,1.569,-3.483,-3.487,,-3.491,-39.181,0.097,0.097,AB2C4,3.034
Os2Rb2S2Cl10N2,0.0,-0.725,1,p2_1/m11,0.356,,1.486,0.547,,1.527,-5.69,-5.868,,-6.046,-79.955,0.634,-4.802,ABCDE5,1.999
I2Ga2S2,0.132,-0.465,0,pmmn,0.833,,1.487,0.834,,1.491,-5.032,-5.449,,-5.865,-19.709,0.0,0.0,ABC,3.806
Ge2H2,0.082,0.082,0,p-3m1,0.92,2.353,1.488,0.92,2.353,1.488,-3.954,-4.414,,-4.874,-15.351,0.0,0.0,AB,1.965
Tl2O2F2,0.076,-1.231,0,pmmn,0.583,,1.488,0.849,,1.837,-7.392,-7.683,,-7.975,-25.805,0.0,0.0,ABC,3.192
SnBr2S2,0.086,-0.393,0,p2/m11,0.829,,1.49,1.206,,2.095,-5.589,-6.004,,-6.418,-17.345,0.0,0.0,AB2C2,3.283
ScSe2,0.126,-1.126,1,p-6m2,0.56,,1.49,0.682,,1.612,-5.058,-5.338,,-5.618,-15.005,0.195,0.195,AB2,3.198
Si2F2,0.181,-1.767,0,p-3m1,0.666,2.333,1.492,0.666,2.333,1.492,-5.846,-6.179,,-6.512,-21.041,0.0,0.0,AB,2.663
AuSbSe6P2,0.006,-0.117,0,p3,0.866,,1.493,1.143,,1.919,-4.637,-5.07,,-5.503,-40.337,0.0,0.0,ABC2D6,2.013
WTeSe,0.042,-0.324,0,p3m1,1.037,1.8,1.493,1.037,1.8,1.493,-3.649,-4.167,,-4.685,-19.143,0.0,0.0,ABC,4.849
Mn2SeCl3,0.075,-0.838,1,pm11,0.308,,1.494,0.397,,1.611,-5.555,-5.709,,-5.864,-33.298,-0.138,0.306,AB2C3,3.005
Te2As2,0.061,0.047,0,c2/m11,0.934,,1.496,1.113,,1.611,-4.073,-4.54,,-5.007,-15.55,0.0,0.0,AB,2.689
Zr2P2S6,0.199,-0.822,0,p-1,0.759,,1.498,0.933,,1.657,-4.801,-5.181,,-5.56,-58.221,0.0,0.0,ABC3,3.409
Mn2Se5Al2,0.027,-0.605,1,p-3m1,0.33,,1.499,0.33,,1.499,-3.552,-3.717,,-3.882,-49.773,-0.302,-0.302,A2B2C5,3.695
In2Se5Mg2,0.012,-0.865,0,p-3m1,0.7,,1.499,0.7,,1.499,-4.431,-4.781,,-5.131,-33.956,0.0,0.0,A2B2C5,3.564
CdIn2S4,0.051,-0.582,0,p-3m1,0.597,,1.5,0.623,,1.542,-4.9,-5.198,,-5.497,-26.837,0.0,0.0,AB2C4,3.109
ZrCl2,0.0,-1.705,0,p-6m2,0.981,1.993,1.5,1.58,2.564,2.157,-3.029,-3.519,,-4.01,-16.088,0.0,0.0,AB2,3.919
PbTe,0.198,-0.224,0,p3m1,0.93,2.059,1.5,0.93,2.059,1.5,-3.706,-4.171,,-4.636,-7.41,0.0,0.0,AB,2.554
ZnGeSe2Br2,0.077,-0.518,0,p1,0.804,,1.501,0.859,,1.537,-4.95,-5.352,,-5.754,-18.943,0.0,0.0,ABC2D2,2.886
Au2Cd2Te2I2,0.088,-0.295,0,pm2_1b,0.824,,1.501,0.824,,1.501,-4.166,-4.578,,-4.99,-19.843,0.0,0.0,ABCD,1.708
Pd4As4S4,0.038,-0.343,0,p2/b11,0.888,,1.501,1.08,,1.828,-4.926,-5.37,,-5.814,-54.364,0.0,0.0,ABC,2.324
TeIAs,0.0,-0.124,0,p3m1,0.982,1.795,1.502,1.215,2.086,1.725,-4.347,-4.838,,-5.329,-9.718,0.0,0.0,ABC,3.369
Tl2O,0.029,-0.557,0,p-6m2,0.995,,1.505,1.535,,2.166,-3.511,-4.009,,-4.506,-11.79,0.0,0.0,AB2,3.481
Ni4As4S4,0.094,-0.256,0,p2/b11,0.513,,1.507,0.513,,1.722,-4.998,-5.254,,-5.51,-67.023,0.0,0.0,ABC,2.266
BiSeCl,0.0,-0.681,0,p3m1,0.851,2.202,1.509,0.959,2.37,1.628,-5.713,-6.139,,-6.564,-11.985,0.0,0.0,ABC,3.038
Ag4S6,0.123,0.078,0,c2/m11,0.872,,1.509,0.947,,1.595,-4.798,-5.234,,-5.67,-35.046,0.0,0.0,A2B3,3.866
Ta3TeCl7,0.0,-1.193,0,p3m1,0.802,,1.51,0.802,,1.51,-4.204,-4.605,,-5.006,-58.274,0.0,0.0,AB3C7,1.91
Ta3Br7S,0.004,-0.967,0,p3m1,0.847,,1.51,0.847,,1.51,-4.289,-4.712,,-5.136,-55.256,0.0,0.0,AB3C7,1.894
VCuSe6P2,0.041,-0.274,1,c211,0.335,,1.511,0.349,,1.521,-4.724,-4.891,,-5.059,-46.561,-0.06,-0.119,ABC2D6,2.033
P4,0.039,0.039,0,pman,0.903,2.025,1.511,0.903,2.025,1.511,-4.151,-4.602,,-5.053,-21.301,0.0,0.0,A,3.233
HfSeS,0.003,-1.471,0,p3m1,0.684,2.175,1.512,1.421,2.596,2.432,-4.98,-5.321,,-5.663,-19.479,0.0,0.0,ABC,3.526
MoSeO,0.183,-1.174,0,p3m1,0.752,1.979,1.512,1.831,2.866,2.453,-4.527,-4.903,,-5.28,-23.331,0.0,0.0,ABC,4.358
ZrSeS,0.0,-1.478,0,p3m1,0.613,2.206,1.514,1.136,2.584,2.232,-5.133,-5.44,,-5.746,-19.399,0.0,0.0,ABC,3.476
Bi2SeSCl2,0.029,-0.645,0,pm11,0.826,,1.515,1.131,,1.804,-6.038,-6.45,,-6.863,-24.35,0.0,0.0,ABC2D2,3.479
Rb2Ca2As2,0.085,-0.773,0,p4/nmm,0.986,,1.518,1.017,,1.631,-1.202,-1.695,,-2.188,-19.809,0.0,0.0,ABC,2.041
Ir4S8,0.076,-0.381,0,p-1,0.692,,1.52,0.889,,1.695,-4.995,-5.342,,-5.688,-74.297,0.0,0.0,AB2,3.934
Sn2SeS,0.044,-0.4,0,pm11,1.064,,1.522,1.178,,1.619,-3.376,-3.908,,-4.44,-17.275,0.0,0.0,ABC2,3.199
Cr2S2F2,0.066,-1.564,1,pmmn,0.494,,1.523,0.541,,1.523,-6.15,-6.397,,-6.644,-39.528,0.005,-0.012,ABC,3.158
PdBr2,0.148,-0.226,1,p-3m1,0.198,,1.525,0.373,,1.715,-5.477,-5.577,,-5.676,-7.668,0.05,0.054,AB2,3.021
Nb3Br7S,0.004,-1.051,0,p3m1,0.81,,1.525,0.81,,1.525,-4.65,-5.055,,-5.46,-57.708,0.0,0.0,AB3C7,1.885
Cu4Br4S4,0.032,-0.232,0,p2_1/b11,0.783,,1.528,0.819,,1.556,-5.889,-6.28,,-6.672,-40.139,0.0,0.0,ABC,1.778
Te6Al4,0.047,-0.404,0,pm2_1n,1.005,,1.529,1.039,,1.587,-4.302,-4.804,,-5.306,-38.223,0.0,0.0,A2B3,2.791
SbISe,0.019,-0.312,0,p3m1,1.012,1.994,1.529,1.262,2.207,1.789,-4.613,-5.118,,-5.624,-10.305,0.0,0.0,ABC,3.322
CrOFH,0.187,-1.558,1,cm11,0.436,,1.53,0.522,,1.53,-3.072,-3.29,,-3.508,-25.675,-0.247,0.143,ABCD,1.062
InTe2Ga,0.019,-0.343,0,p3m1,0.966,,1.532,0.98,,1.565,-4.209,-4.692,,-5.175,-13.448,0.0,0.0,ABC2,3.823
Tl2Te2Li2,0.022,-0.625,0,p4/nmm,1.041,,1.533,1.045,,1.534,-2.802,-3.323,,-3.844,-18.935,0.0,0.0,ABC,3.109
Bi4S6,0.071,-0.296,0,p31m,0.889,,1.536,1.175,,1.829,-4.615,-5.059,,-5.504,-46.125,0.0,0.0,A2B3,3.197
Ir4Se2S6,0.064,-0.372,0,p1,0.722,,1.536,0.861,,1.692,-4.82,-5.181,,-5.543,-72.997,0.0,0.0,AB2C3,3.929
Tl4Se2,0.016,-0.335,0,pmmn,0.883,,1.538,0.897,,1.559,-3.294,-3.736,,-4.178,-18.968,0.0,0.0,AB2,2.825
TeCuGeBr,0.078,-0.211,0,p3m1,0.652,,1.54,0.652,,1.545,-4.188,-4.514,,-4.84,-13.826,0.0,0.0,ABCD,3.385
Au4S4Cl4F4,0.074,-0.587,0,p-1,0.921,,1.54,1.015,,1.638,-5.793,-6.254,,-6.715,-51.715,0.0,0.0,ABCD,1.686
Pd2I2Br2,0.028,-0.286,0,pb11,0.585,,1.541,0.852,,1.831,-5.027,-5.32,,-5.612,-15.484,0.0,0.0,ABC,2.783
Nb3TeCl7,0.0,-1.269,0,p3m1,0.772,,1.542,0.777,,1.547,-4.551,-4.937,,-5.323,-60.644,0.0,0.0,AB3C7,1.881
Cs2Os2S2Cl10N2,0.0,-0.744,1,p2_1/m11,0.421,,1.544,0.553,,1.572,-5.732,-5.942,,-6.152,-80.144,0.72,-3.436,ABCDE5,2.088
CdGeSeBr2S,0.086,-0.518,0,cm11,0.617,,1.544,0.657,,1.591,-5.387,-5.695,,-6.003,-19.282,0.0,0.0,ABCDE2,2.799
Hg10F4,0.05,-0.699,0,p1,1.172,,1.544,1.32,,1.708,-3.844,-4.43,,-5.016,-24.991,0.0,0.0,A2B5,2.537
Ga4Se6,0.068,-0.526,0,pm2_1n,0.987,,1.545,0.999,,1.56,-4.968,-5.461,,-5.955,-37.766,0.0,0.0,A2B3,2.677
Mo2Cl6,0.0,-0.918,1,c2/m11,0.639,,1.546,0.736,,1.546,-4.837,-5.156,,-5.476,-40.462,0.101,0.217,AB3,1.808
I2Cr2S2,0.0,-0.619,1,pmmn,0.331,,1.548,0.435,,1.681,-5.075,-5.24,,-5.406,-33.645,-0.717,0.558,ABC,4.056
Cu4S4Cl4,0.03,-0.328,0,p2_1/b11,0.822,,1.55,0.846,,1.569,-6.137,-6.548,,-6.959,-42.094,0.0,0.0,ABC,1.715
V4O8,0.083,-2.239,0,c2/m11,0.304,,1.552,0.503,,1.639,-6.587,-6.739,,-6.892,-101.961,0.0,0.0,AB2,2.136
Au3InBr4O4,0.035,-0.392,0,p112,0.475,,1.555,0.489,,1.583,-5.805,-6.042,,-6.28,-43.69,0.0,0.0,AB3C4D4,3.297
In2TeI2S,0.09,-0.416,0,p1,0.833,,1.556,0.833,,1.556,-4.116,-4.532,,-4.949,-18.264,0.0,0.0,ABC2D2,2.929
PdTiS2,0.034,-0.967,0,p-4m2,0.319,,1.557,0.806,,2.447,-4.73,-4.889,,-5.049,-22.536,0.0,0.0,ABC2,3.156
Ag2S2,0.12,0.063,0,p2/m11,0.962,,1.557,1.355,,1.891,-5.238,-5.718,,-6.199,-13.582,0.0,0.0,AB,2.343
Ru2K2Cl10N2O2,0.0,-0.864,1,p2_1/m11,0.372,,1.558,0.376,,1.566,-6.509,-6.695,,-6.881,-81.724,-0.011,-0.058,ABCDE5,1.969
Ir4Se3S5,0.051,-0.374,0,p1,0.75,,1.558,0.87,,1.682,-4.748,-5.123,,-5.498,-72.429,0.0,0.0,A3B4C5,3.975
Ge2Se2,0.025,-0.205,0,pm2_1n,1.121,1.861,1.559,1.142,1.861,1.559,-3.404,-3.965,,-4.525,-16.818,0.0,0.0,AB,3.311
Au2Se2,0.007,-0.116,0,p2/m11,0.956,,1.561,1.439,,2.078,-4.572,-5.05,,-5.528,-13.688,0.0,0.0,AB,2.455
Ge6P8,0.065,0.065,0,p6mm,1.003,,1.562,1.003,,1.562,-4.175,-4.677,,-5.179,-69.103,0.0,0.0,A3B4,3.179
Tl2S3,0.066,-0.145,0,p211,0.73,,1.564,0.988,,1.748,-2.929,-3.294,,-3.659,-17.955,0.0,0.0,A2B3,2.969
InGaSe2P2S4,0.095,-0.293,0,c211,0.955,,1.566,0.968,,1.617,-4.368,-4.845,,-5.323,-42.605,0.0,0.0,ABC2D2E4,3.392
Te2Ni2S6,0.063,-0.118,0,p2_1/m11,0.61,,1.567,0.647,,1.632,-3.784,-4.089,,-4.394,-46.55,0.0,0.0,ABC3,2.33
Pb2I2S,0.048,-0.594,0,p-6m2,0.929,,1.567,0.974,,1.585,-4.889,-5.353,,-5.817,-17.524,0.0,0.0,AB2C2,4.532
Ir4Se8,0.036,-0.336,0,p-1,0.824,,1.568,0.913,,1.638,-4.41,-4.823,,-5.235,-68.996,0.0,0.0,AB2,3.988
Ta3Cl7O,0.075,-1.389,0,p3m1,0.879,,1.569,0.884,,1.573,-4.48,-4.92,,-5.359,-62.348,0.0,0.0,AB3C7,1.889
Re4S8,0.122,-0.471,0,p-1,0.977,,1.57,1.023,,1.591,-4.644,-5.133,,-5.621,-84.901,0.0,0.0,AB2,4.385
Sb2Se6Si2,0.01,-0.348,0,p-31m,1.01,,1.572,1.396,,1.984,-4.455,-4.96,,-5.466,-43.988,0.0,0.0,ABC3,3.66
In2Te2,0.039,-0.311,0,c2/m11,1.072,,1.572,1.439,,2.018,-3.855,-4.391,,-4.927,-13.18,0.0,0.0,AB,1.573
AgAs2Se6Al,0.076,-0.232,0,p312,0.764,,1.577,0.764,,1.593,-4.592,-4.974,,-5.356,-39.116,0.0,0.0,ABC2D6,2.025
Ba4Te8As4Cl4,0.067,-1.089,0,p2_1/b11,0.926,,1.577,1.177,,1.82,-4.182,-4.645,,-5.108,-80.52,0.0,0.0,ABCD2,3.316
Bi2S4H2,0.006,-0.292,0,p2_1/m11,0.962,,1.581,1.119,,1.752,-4.926,-5.407,,-5.888,-34.642,0.0,0.0,ABC2,3.279
Ta3SeCl7,0.0,-1.261,0,p3m1,0.863,,1.582,0.863,,1.582,-4.301,-4.733,,-5.164,-59.299,0.0,0.0,AB3C7,1.886
Ru2S4,0.167,-0.402,0,p2_1/m11,0.725,,1.583,1.133,,1.901,-4.987,-5.35,,-5.712,-37.649,0.0,0.0,AB2,3.932
In8Te12,0.005,-0.313,0,p2_1/b11,0.964,,1.585,0.964,,1.585,-3.753,-4.236,,-4.718,-66.821,0.0,0.0,A2B3,1.826
MoTeS,0.065,-0.546,0,p3m1,0.992,1.988,1.585,1.274,2.055,1.746,-4.142,-4.638,,-5.135,-20.124,0.0,0.0,ABC,4.729
Au2Se4Cl2,0.079,-0.113,0,p2_111,0.883,,1.586,0.915,,1.608,-5.006,-5.448,,-5.889,-24.664,0.0,0.0,ABC2,2.588
Au2Te4Cl2,0.128,-0.158,0,p2_111,0.981,,1.589,1.217,,2.001,-4.507,-4.997,,-5.488,-23.917,0.0,0.0,ABC2,2.579
SbISe,0.149,-0.183,0,p3m1,1.007,1.968,1.592,1.168,2.179,1.922,-4.538,-5.042,,-5.545,-9.915,0.0,0.0,ABC,3.805
ReI6Cu2,0.088,-0.017,1,p-3,0.18,,1.592,0.2,,1.794,-5.06,-5.15,,-5.239,-28.034,10.141,10.193,AB2C6,3.358
MoTeSe,0.025,-0.479,0,p3m1,1.136,1.844,1.594,1.136,1.882,1.594,-3.898,-4.466,,-5.034,-19.327,0.0,0.0,ABC,4.749
Nb3Cl7O,0.053,-1.486,0,p3m1,0.86,,1.594,0.86,,1.594,-4.927,-5.357,,-5.788,-64.941,0.0,0.0,AB3C7,1.865
HfGeS2Cl2,0.094,-1.163,0,pm11,0.836,,1.594,0.926,,1.729,-5.09,-5.508,,-5.926,-30.727,0.0,0.0,ABC2D2,3.704
Ru2Se4,0.076,-0.343,0,p2_1/m11,0.779,,1.595,0.972,,1.667,-4.338,-4.727,,-5.117,-34.918,0.0,0.0,AB2,4.01
Sb2Sc2Se6,0.0,-0.897,0,p31m,1.115,,1.596,1.233,,1.773,-4.143,-4.7,,-5.257,-48.002,0.0,0.0,ABC3,3.62
ICrSe,0.048,-0.474,1,p3m1,0.721,,1.596,1.212,,2.386,-4.482,-4.842,,-5.203,-15.791,0.081,0.081,ABC,3.662
Cu12S6,0.068,-0.105,0,p1,0.627,,1.597,0.95,,1.987,-4.268,-4.582,,-4.895,-70.469,0.0,0.0,AB2,3.881
Rb4O2,0.0,-0.919,0,p-3m1,0.338,,1.598,0.338,,1.599,-1.243,-1.412,,-1.581,-19.401,0.0,0.0,AB2,1.523
BiBrS,0.009,-0.557,0,p3m1,0.891,2.335,1.6,1.145,2.515,1.876,-5.709,-6.155,,-6.6,-12.009,0.0,0.0,ABC,3.065
Nb3SeCl7,0.0,-1.339,0,p3m1,0.831,,1.601,0.831,,1.601,-4.68,-5.095,,-5.51,-61.682,0.0,0.0,AB3C7,1.859
Pd3As2Se8,0.092,-0.153,0,p-3m1,0.845,,1.601,0.912,,1.758,-5.143,-5.565,,-5.988,-50.638,0.0,0.0,A2B3C8,1.804
AuBiSe6P2,0.0,-0.158,0,p3,0.889,,1.604,0.933,,1.73,-4.809,-5.253,,-5.698,-41.014,0.0,0.0,ABC2D6,2.029
PdNi2Br4Cl4,0.029,-0.423,1,p1,0.322,,1.604,0.347,,1.606,-6.135,-6.295,,-6.456,-36.446,-0.506,0.205,AB2C4D4,2.869
Mn2Cl2N2,0.119,-0.467,1,pmmn,0.176,,1.607,0.349,,1.753,-5.93,-6.018,,-6.106,-42.512,-0.394,-0.354,ABC,3.831
Hf2Ti2Se8,0.16,-1.08,0,pm2a,0.646,,1.61,0.651,,1.633,-5.521,-5.843,,-6.166,-69.214,0.0,0.0,ABC4,3.99
Au2Br2S4,0.041,-0.039,0,p2_122,0.984,,1.611,0.991,,1.622,-5.058,-5.55,,-6.043,-26.05,0.0,0.0,ABC2,2.356
Hf2Sn2Se8,0.044,-0.804,0,pm2_1n,0.946,,1.614,1.067,,1.662,-4.093,-4.566,,-5.039,-60.637,0.0,0.0,ABC4,2.136
SbTeBr,0.0,-0.377,0,p3m1,1.052,2.07,1.615,1.351,2.402,1.902,-4.708,-5.234,,-5.76,-10.327,0.0,0.0,ABC,3.14
Te6As4,0.062,0.046,0,pm2_1n,1.025,,1.616,1.127,,1.721,-3.644,-4.156,,-4.669,-37.426,0.0,0.0,A2B3,1.504
Te2Sc2Br2,0.012,-1.464,0,pmmn,0.552,,1.617,0.63,,1.742,-4.486,-4.762,,-5.038,-27.685,0.0,0.0,ABC,3.447
Ba4Bi4Se8F4,0.031,-1.785,0,p2_1/b11,0.903,,1.618,1.019,,1.64,-4.512,-4.963,,-5.415,-95.924,0.0,0.0,ABCD2,3.613
Sb2Mn2S4Cl2,0.084,-0.496,1,pm2_1b,0.355,,1.619,0.55,,1.895,-4.347,-4.524,,-4.701,-53.088,0.267,0.942,ABCD2,1.578
I2TiGeS2,0.068,-0.768,0,pm11,0.486,,1.621,0.49,,1.636,-4.812,-5.056,,-5.299,-26.928,0.0,0.0,ABC2D2,3.301
Re4Se8,0.0,-0.403,0,p-1,1.115,,1.621,1.116,,1.621,-3.929,-4.487,,-5.045,-79.325,0.0,0.0,AB2,4.402
Au2Te4Br2,0.085,-0.11,0,p2_111,1.013,,1.621,1.064,,1.816,-4.485,-4.992,,-5.498,-23.131,0.0,0.0,ABC2,2.629
I2Cu2C6N2F8,0.09,-0.9,0,p-1,0.218,,1.621,0.237,,1.633,-4.915,-5.023,,-5.132,-113.032,0.0,0.0,ABCD3E4,1.849
AuPdSeCl,0.071,-0.264,0,pm11,0.744,,1.623,0.995,,1.949,-4.601,-4.973,,-5.345,-13.275,0.0,0.0,ABCD,2.705
Y2Te3,0.0,-1.396,0,p-6m2,0.912,,1.625,1.346,,2.166,-4.545,-5.001,,-5.458,-25.976,0.0,0.0,A2B3,4.923
Ga2Se3,0.066,-0.528,0,cm2m,0.833,,1.626,0.833,,1.626,-4.054,-4.471,,-4.888,-18.893,0.0,0.0,A2B3,4.201
Te4I4Ti2,0.047,-0.535,0,c2/m11,0.476,,1.626,0.49,,1.643,-4.581,-4.819,,-5.057,-37.461,0.0,0.0,AB2C2,3.449
HfSe2,0.174,-1.175,0,p-6m2,0.812,2.115,1.626,1.113,2.465,1.989,-5.452,-5.859,,-6.265,-17.998,0.0,0.0,AB2,4.081
Ga2Ge2Se6,0.056,-0.367,0,p-31m,1.009,,1.629,1.009,,1.629,-4.722,-5.227,,-5.731,-39.403,0.0,0.0,ABC3,2.026
Sb2Mn2Br2S4,0.096,-0.419,1,pm2_1b,0.37,,1.63,0.374,,1.646,-4.287,-4.472,,-4.657,-51.913,0.415,1.504,ABCD2,1.611
Au3InIBr3O4,0.077,-0.378,0,p1,0.738,,1.63,0.748,,1.645,-5.565,-5.934,,-6.303,-43.42,0.0,0.0,ABC3D3E4,3.198
PtSe2,0.0,-0.413,0,p-3m1,1.167,2.381,1.636,1.358,2.572,1.933,-4.3,-4.883,,-5.466,-14.56,0.0,0.0,AB2,3.674
Sb4Te4Ge4,0.073,0.004,0,p2_122,1.047,,1.636,1.081,,1.679,-3.89,-4.414,,-4.938,-48.464,0.0,0.0,ABC,1.74
Zr2Sn2Se8,0.012,-0.851,0,pm2_1n,0.887,,1.636,0.99,,1.694,-4.184,-4.628,,-5.072,-60.991,0.0,0.0,ABC4,2.123
Ta2I4O2,0.0,-1.348,0,pmmm,0.861,,1.637,0.883,,1.826,-4.114,-4.544,,-4.974,-46.581,0.0,0.0,ABC2,2.103
Ag4F8,0.017,-1.229,0,p2/b11,0.325,,1.637,0.325,,1.637,-6.978,-7.14,,-7.303,-38.801,0.0,0.0,AB2,1.023
Nb2I12Na2,0.019,-0.648,0,p2_111,0.552,,1.641,0.552,,1.641,-5.072,-5.349,,-5.625,-51.374,0.0,0.0,ABC6,2.16
ZrMoI3Br3,0.092,-0.808,1,p1,0.704,,1.642,0.791,,1.75,-4.349,-4.701,,-5.053,-34.26,0.553,-0.561,ABC3D3,3.239
Ta3SCl7,0.0,-1.298,0,p3m1,0.925,,1.643,0.925,,1.645,-4.37,-4.833,,-5.295,-60.3,0.0,0.0,AB3C7,1.878
Au2Br6,0.0,-0.138,0,pb11,0.693,,1.643,0.713,,1.657,-5.583,-5.93,,-6.276,-16.872,0.0,0.0,AB3,2.014
HfSeS,0.196,-1.278,0,p3m1,0.887,2.175,1.645,1.167,2.596,2.082,-5.595,-6.038,,-6.482,-18.9,0.0,0.0,ABC,4.049
Rb2Ru2Cl10N2O2,0.0,-0.876,1,p2_1/m11,0.433,,1.645,0.443,,1.657,-6.517,-6.734,,-6.951,-81.318,-0.018,-0.041,ABCDE5,1.986
Cu4S4F4,0.047,-0.832,0,p2_1/b11,0.985,,1.646,1.072,,1.739,-5.963,-6.455,,-6.948,-47.351,0.0,0.0,ABC,1.407
Ta2Se4Cl4,0.051,-0.921,0,c2/m11,0.939,,1.647,0.939,,1.647,-4.079,-4.548,,-5.018,-49.911,0.0,0.0,AB2C2,1.939
Au2Hg2Br6,0.079,-0.303,0,p-31m,0.782,,1.647,0.782,,1.647,-5.237,-5.628,,-6.019,-20.572,0.0,0.0,ABC3,3.013
AuInI2S,0.092,-0.312,0,p1,0.99,,1.648,1.038,,1.691,-4.64,-5.135,,-5.63,-14.486,0.0,0.0,ABCD2,3.51
SbSeBr,0.0,-0.444,0,p3m1,1.069,2.164,1.649,1.413,2.522,1.989,-4.909,-5.444,,-5.979,-10.806,0.0,0.0,ABC,3.108
In2Te5,0.004,-0.23,0,c2/m11,1.08,,1.649,1.158,,1.74,-3.883,-4.423,,-4.963,-23.158,0.0,0.0,A2B5,1.797
MoO2,0.028,-1.979,0,p-6m2,0.912,2.317,1.651,1.691,2.834,2.428,-5.757,-6.213,,-6.669,-27.388,0.0,0.0,AB2,4.128
Ag4Br12,0.025,-0.164,0,p112/a,0.58,,1.652,0.58,,1.652,-5.373,-5.663,,-5.953,-33.006,0.0,0.0,AB3,1.649
