Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
Sb2Te4Cu2,0.089,-0.011,0,pm2_1b,0.064,,0.1,0.163,,0.105,-4.119,-4.151,,-4.183,-29.072,0.0,0.0,ABC2,2.196
Mo2Se4,0.109,-0.598,0,p2_1/m11,0.041,,0.108,0.113,,0.156,-5.079,-5.1,,-5.121,-39.926,0.0,0.0,AB2,4.449
W2Se4,0.092,-0.503,0,p2_1/m11,0.032,,0.118,0.128,,0.123,-4.923,-4.938,,-4.954,-39.918,0.0,0.0,AB2,4.541
Nb4Pd6Se10,0.034,-0.619,0,pmmn,0.064,,0.118,0.064,,0.118,-4.987,-5.019,,-5.051,-111.439,0.0,0.0,A2B3C5,2.315
Ta2Ir2Te8,0.007,-0.39,0,p2_1/m11,0.047,,0.119,0.047,,0.132,-4.312,-4.336,,-4.359,-68.501,0.0,0.0,ABC4,2.394
Ir2As2S6,0.04,-0.294,0,p-31m,0.251,,0.125,0.251,,0.125,-5.243,-5.368,,-5.494,-55.282,0.0,0.0,ABC3,3.713
Hf2Te10,0.0,-0.455,0,pmmn,0.159,,0.126,0.322,,0.313,-4.38,-4.459,,-4.539,-52.522,0.0,0.0,AB5,2.113
AgCuSe5P2S,0.016,-0.106,0,p1,0.027,,0.127,0.095,,0.245,-5.53,-5.543,,-5.557,-39.795,0.0,0.0,ABCD2E5,3.544
ITi5Cl2N3O,0.144,-1.596,0,p1,0.069,,0.129,0.087,,0.129,-4.362,-4.396,,-4.43,-87.83,0.0,0.0,ABC2D3E5,4.257
Mn4Se6,0.005,-0.418,1,pm2_1b,0.399,,0.138,0.44,,0.937,-4.506,-4.705,,-4.905,-63.939,-0.568,-0.232,A2B3,4.095
Bi2In2,0.094,0.092,0,p4/nmm,0.037,,0.138,0.196,,0.181,-3.87,-3.888,,-3.907,-14.505,0.0,0.0,AB,1.719
Zr2Te10,0.0,-0.514,0,pmmn,0.191,,0.142,0.33,,0.321,-4.393,-4.489,,-4.584,-53.026,0.0,0.0,AB5,2.101
FeBr2,0.081,-0.383,1,p-6m2,0.263,0.759,0.145,0.263,0.759,0.145,-5.104,-5.235,,-5.367,-13.359,0.092,0.092,AB2,3.426
Hf4Te3Se5,0.004,-1.151,0,p3m1,0.003,,0.148,0.02,,0.148,-4.808,-4.809,,-4.811,-70.868,0.0,0.0,A3B4C5,3.922
Ta2Te2S,0.088,-0.533,0,p-3m1,0.388,,0.151,0.388,,0.151,-4.278,-4.472,,-4.666,-32.788,0.0,0.0,AB2C2,4.667
Tl4As4,0.055,0.055,0,pbma,0.04,,0.158,0.164,,0.328,-3.278,-3.298,,-3.319,-28.201,0.0,0.0,AB,3.361
Cu6S4,0.097,-0.11,0,p1,0.13,,0.158,0.13,,0.158,-5.252,-5.317,,-5.382,-39.473,0.0,0.0,A2B3,2.389
Rh2Se2Br2,0.023,-0.495,0,pmmn,0.0,,0.165,0.0,,0.165,,-5.799,,,-27.402,0.0,0.0,ABC,3.88
Ir2Sb2Se6,0.058,-0.272,0,p-31m,0.292,,0.171,0.292,,0.171,-4.786,-4.932,,-5.078,-50.983,0.0,0.0,ABC3,3.842
Ta4Ni2Se10,0.0,-0.763,0,p112/a,0.032,,0.174,0.04,,0.177,-4.943,-4.959,,-4.975,-100.792,0.0,0.0,AB2C5,2.189
HfTeSe,0.006,-1.084,0,p3m1,0.0,,0.186,0.0,,1.103,,-4.723,,,-17.445,0.0,0.0,ABC,3.725
Rh2Se2Cl2,0.034,-0.579,0,pmmn,0.0,,0.195,0.0,,0.197,,-6.271,,,-28.304,0.0,0.0,ABC,3.86
Pt4Hg2Se6,0.063,-0.286,0,p-3m1,0.153,,0.195,0.177,,0.195,-4.753,-4.829,,-4.905,-51.521,0.0,0.0,AB2C3,2.641
Au2ISe2Cl,0.111,-0.062,0,p1,0.048,,0.196,0.077,,0.215,-6.079,-6.103,,-6.127,-16.859,0.0,0.0,ABC2D2,2.697
Ta4Ge2Se8,0.028,-0.697,0,pbam,0.176,,0.197,0.293,,0.419,-4.38,-4.468,,-4.555,-85.912,0.0,0.0,AB2C4,2.336
Ta4Pd2Se10,0.014,-0.729,0,p112/a,0.071,,0.197,0.078,,0.215,-4.983,-5.018,,-5.054,-93.403,0.0,0.0,AB2C5,2.219
Rh2Te6As2,0.053,-0.264,0,p-31m,0.262,,0.201,0.262,,0.279,-4.319,-4.45,,-4.581,-45.493,0.0,0.0,ABC3,3.886
Ta4Se6,0.0,-0.79,0,c2/m11,0.045,,0.201,0.142,,0.257,-4.769,-4.792,,-4.814,-68.066,0.0,0.0,A2B3,2.392
HfTeS,0.011,-1.201,0,p3m1,0.0,,0.207,0.0,,1.002,,-4.636,,,-18.392,0.0,0.0,ABC,3.665
Rh2Sb2Te6,0.072,-0.259,0,p-31m,0.249,,0.208,0.249,,0.221,-4.34,-4.464,,-4.589,-44.926,0.0,0.0,ABC3,3.924
W2I6,0.19,0.19,0,p-62m,0.223,,0.211,0.244,,0.251,-3.811,-3.923,,-4.034,-30.319,0.0,0.0,AB3,3.978
Pt4Hg2Te6,0.073,-0.288,0,p-3m1,0.114,,0.212,0.157,,0.212,-4.588,-4.645,,-4.702,-49.876,0.0,0.0,AB2C3,2.753
Y2In2I2,0.046,-0.89,0,p-3m1,0.012,,0.212,0.763,,1.042,-3.846,-3.852,,-3.859,-23.207,0.0,0.0,ABC,2.977
Ir2S2,0.158,-0.194,0,p-3m1,0.041,,0.219,0.478,,0.98,-4.796,-4.817,,-4.838,-27.483,0.0,0.0,AB,5.602
Mn2SeSCl2,0.087,-0.703,1,cm11,0.0,,0.22,0.0,,0.408,,-5.268,,,-34.782,-0.564,-0.423,ABC2D2,2.724
Ir2As2Se6,0.005,-0.276,0,p-31m,0.28,,0.222,0.28,,0.222,-4.85,-4.99,,-5.13,-51.538,0.0,0.0,ABC3,3.758
ZrTeS,0.0,-1.242,0,p3m1,0.0,,0.226,0.0,,0.812,,-4.733,,,-18.411,0.0,0.0,ABC,3.63
Ta4Ni6Se10,0.0,-0.63,0,pmmn,0.175,,0.228,0.175,,0.228,-4.48,-4.567,,-4.654,-130.168,0.0,0.0,A2B3C5,2.264
Hf2Se10,0.0,-0.69,0,pmmn,0.337,,0.229,0.337,,0.229,-4.832,-5.001,,-5.169,-58.119,0.0,0.0,AB5,2.017
Ir2Sb2S6,0.098,-0.294,0,p-31m,0.275,,0.235,0.4,,0.235,-5.008,-5.146,,-5.283,-54.774,0.0,0.0,ABC3,3.798
Tl2Te6Ni4,0.012,-0.214,0,p-3m1,0.273,,0.236,0.314,,0.236,-4.045,-4.182,,-4.319,-55.782,0.0,0.0,AB2C3,1.864
Ag2Te2,0.093,0.042,0,p-6m2,0.016,,0.242,0.13,,0.242,-3.779,-3.786,,-3.794,-11.922,0.0,0.0,AB,3.0
Zr2Se10,0.0,-0.727,0,pmmn,0.304,,0.243,0.304,,0.243,-4.869,-5.021,,-5.173,-58.362,0.0,0.0,AB5,2.003
Ti3N2O2,0.032,-2.232,0,p-6m2,0.0,,0.247,0.0,,0.541,,-5.539,,,-62.648,0.0,0.0,A2B2C3,6.485
Sb2Te6Cr2,0.083,-0.103,1,p31m,0.007,,0.248,0.355,,0.62,-4.352,-4.356,,-4.359,-47.891,1.803,1.809,ABC3,3.883
AuAgF6,0.0,-1.156,0,cmmm,0.181,,0.272,0.2,,0.272,-7.901,-7.991,,-8.082,-24.741,0.0,0.0,ABC6,1.976
HgTe,0.165,-0.038,0,p3m1,0.153,0.028,0.279,0.153,0.028,0.279,-4.953,-5.03,,-5.107,-4.166,0.0,0.0,AB,2.069
Nb4Pd2Se10,0.038,-0.729,0,p112/a,0.021,,0.283,0.066,,0.283,-5.144,-5.155,,-5.166,-95.431,0.0,0.0,AB2C5,2.199
