Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
FeGa2Se4,,,0.803,1.814,0.056,-0.445,0.0,0.538,1.761,0.803,1.814,-3.827,-4.096,-4.365,-31.894,1.3877787807814457e-17,0.0,3.303
Cu6SeBr2S3Cl6,,,0.311,0.799,0.047,-0.33799999999999997,0.0,0.271,0.7469999999999999,0.31099999999999994,0.7989999999999999,-6.226,-6.361,-6.497,-57.743,1.3877787807814457e-17,0.0,3.267
In2S2O8H2,,,3.85,5.22,0.033,-1.319,0.0,3.782,5.132,3.85,5.22,-3.17,-5.061,-6.952,-79.795,1.3877787807814457e-17,0.0,1.629
Pt2S2O6,,,1.509,3.047,0.072,-0.765,0.0,1.456,2.976,1.509,3.047,-3.896,-4.624,-5.352,-59.259,1.3877787807814457e-17,0.0,1.538
SbSeCl,2.404,2.778,1.507,2.128,0.003999999999999997,-0.537,0.0,1.172,1.804,1.507,2.128,-5.072,-5.658,-6.244,-11.284999999999997,1.3877787807814457e-17,0.0,3.059
Ge2Se2,1.861,1.861,1.142,1.559,0.025,-0.20499999999999996,0.0,1.121,1.559,1.142,1.559,-3.404,-3.965,-4.525,-16.817999999999998,1.3877787807814457e-17,0.0,3.311
Ir2Nb2Te8,,,0.047,0.043,0.008,-0.424,0.0,0.04699999999999993,0.03299999999999992,0.04699999999999993,0.04300000000000015,-4.443,-4.466,-4.489,-69.926,1.3877787807814457e-17,0.0,2.39
V2CO2H2,,,0.0,,0.133,-1.06,0.0,0.0,1.914,0.0,2.3553333333333333,-2.8646666666666665,-1.7930000000000001,-3.308333333333333,-50.588,1.3877787807814457e-17,0.0,3.516
Cd2I6Li2,,,2.482,3.386,0.069,-0.811,0.0,2.482,3.376,2.482,3.386,-3.437,-4.678,-5.919,-22.613,1.3877787807814457e-17,0.0,2.988
BiTeCuSe,,,0.0,0.382,0.077,-0.16000000000000003,0.0,0.0,0.33899999999999997,0.0,0.3820000000000001,-4.799666666666667,-4.863,-4.913666666666667,-15.678999999999998,1.3877787807814457e-17,0.0,3.793
In2MnS4,,,0.018,,0.031,-0.56,1.0000000000000002,0.018000000000000016,1.5043333333333333,0.018000000000000016,1.5043333333333333,-4.508,-4.516,-4.525,-35.477,-0.366,-0.366,3.192
Hf2Mn2Br8,,,0.495,1.109,0.161,-0.949,1.0000000000000002,0.44199999999999995,1.091,0.495,1.109,-3.914,-4.135,-4.356,-58.511,0.368,0.695,3.218
Re6S8F2,,,1.646,2.418,0.0,-0.857,0.0,1.621,2.384,1.646,2.418,-5.239,-6.049,-6.86,-119.459,1.3877787807814457e-17,0.0,2.462
Ni2As4Br4O6,,,1.088,3.963,0.077,-0.838,1.0000000000000002,1.044,3.921,1.088,3.963,-5.019,-5.541,-6.063,-83.646,-0.819,-0.553,1.881
Re4Te8,,,0.992,1.515,0.0,-0.09199999999999986,0.0,0.817,1.331,0.992,1.515,-3.694,-4.103,-4.512,-73.375,1.3877787807814457e-17,0.0,4.665
Tl2As2Be2,,,0.0,1.385,0.0,-0.061000000000000054,0.0,0.0,0.44000000000000017,0.0,1.385,-3.2793333333333337,-3.224,-3.8153333333333332,-22.091,1.3877787807814457e-17,0.0,3.947
Sc2As2S6,,,1.512,2.144,0.091,-0.957,0.0,1.423,2.05,1.512,2.144,-4.311,-5.022,-5.734,-52.68,1.3877787807814457e-17,0.0,3.423
Nb2Te4I4,,,0.688,1.308,0.023,-0.4139999999999999,0.0,0.649,1.284,0.688,1.308,-4.141,-4.466,-4.79,-43.526,1.3877787807814457e-17,0.0,2.077
I4Co2As4O6,,,0.817,3.342,0.077,-0.741,1.0000000000000002,0.762,3.183,0.817,3.342,-4.705,-5.086,-5.467,-83.624,-0.688,-1.32,2.222
Sb4Ge4Se4,,,1.528,2.214,0.015,-0.13800000000000012,0.0,1.488,2.165,1.528,2.214,-3.861,-4.605,-5.349,-51.278,1.3877787807814457e-17,0.0,1.69
Ag2I6Mg2,,,2.621,3.636,0.02,-0.737,0.0,2.621,3.636,2.621,3.636,-3.212,-4.522,-5.832,-25.155,1.3877787807814457e-17,0.0,3.223
Ta4I2S12,,,0.519,0.936,0.093,-0.657,0.0,0.502,0.9359999999999999,0.519,0.9359999999999997,-4.646,-4.897,-5.148,-102.99100000000001,1.3877787807814457e-17,0.0,1.858
In2Te6Si2,,,0.872,1.393,0.0049999999999999975,-0.21499999999999997,0.0,0.682,1.183,0.872,1.393,-4.385,-4.726,-5.067,-37.7,1.3877787807814457e-17,0.0,2.08
Ag4S6,,,1.579,2.639,0.11299999999999999,0.06800000000000006,0.0,1.476,2.534,1.579,2.639,-3.625,-4.363,-5.1,-35.145,1.3877787807814457e-17,0.0,1.843
Au4O4F4,,,1.163,2.461,0.0,-0.509,0.0,1.107,2.402,1.163,2.461,-6.808,-7.362,-7.915,-45.476,1.3877787807814457e-17,0.0,1.343
Au2Sb2S6,,,1.382,2.237,0.092,-0.08199999999999996,0.0,1.226,2.046,1.382,2.237,-4.807,-5.42,-6.034,-40.362,1.3877787807814457e-17,0.0,2.743
Ge2P2S6F2,,,2.605,3.478,0.013999999999999999,-0.725,0.0,2.508,3.376,2.605,3.478,-3.832,-5.086,-6.34,-56.1,1.3877787807814457e-17,0.0,1.698
ZnAl2S4,,,0.0,,0.147,-0.889,0.0,0.0,0.7689999999999999,0.0,0.7690000000000001,-4.7603333333333335,-4.951,-5.145666666666667,-31.198,1.3877787807814457e-17,0.0,3.214
W2V2Se8,,,0.0,,0.024,-0.627,1.0000000000000002,0.0,1.3550000000000002,0.0,1.648,-5.021,-5.351,-5.571666666666667,-75.404,-2.498,-2.525,4.4
Tl2O,,,1.535,2.166,0.028999999999999998,-0.557,0.0,0.995,1.505,1.535,2.166,-3.511,-4.009,-4.506,-11.79,1.3877787807814457e-17,0.0,3.481
In2Sb2O6,,,3.326,4.477,0.025,-1.464,0.0,3.123,4.247,3.326,4.477,-2.377,-3.939,-5.5,-59.729,1.3877787807814457e-17,0.0,3.328
HgPb2Br2S2,,,2.052,2.924,0.032,-0.6,0.0,1.962,2.817,2.052,2.924,-3.936,-4.917,-5.898,-23.926,1.3877787807814457e-17,0.0,1.722
ZrPdF6,,,1.441,3.999,0.085,-2.815,1.0000000000000002,1.375,3.952,1.441,3.999,-6.575,-7.263,-7.951,-43.263,-0.13100000000000003,-0.14200000000000002,2.148
Cu2F6,,,0.907,3.55,0.0,-1.448,1.0000000000000002,0.907,3.55,0.907,3.55,-8.626,-9.079,-9.532,-28.458,-0.06,-0.059999999999999984,2.146
Rb2C2O6,,,1.08,2.747,0.017,-1.469,1.0000000000000002,1.017,2.673,1.08,2.747,-5.684,-6.192,-6.701,-65.693,-0.0020000000000000018,0.0030000000000000027,1.244
Hf4ISeBr3S3,,,0.0,,0.0,-1.402,0.0,0.0,0.07333333333333325,0.0,0.0733333333333337,-5.1706666666666665,-4.631,-5.201,-68.799,1.3877787807814457e-17,0.0,4.19
Bi4S6,,,0.777,1.33,0.023,-0.344,0.0,0.1200000000000001,0.6720000000000002,0.777,1.33,-6.006,-6.066,-6.125,-46.604,1.3877787807814457e-17,0.0,4.796
Rh2Cl2O2,,,0.074,0.759,0.07,-0.651,0.0,0.040000000000000036,0.7590000000000001,0.07400000000000007,0.7589999999999997,-5.42,-5.44,-5.46,-32.018,1.3877787807814457e-17,0.0,3.662
Nb4Te12Br2,,,0.748,1.18,0.0,-0.449,0.0,0.736,1.18,0.748,1.18,-4.006,-4.374,-4.742,-91.006,1.3877787807814457e-17,0.0,1.961
In2Se2Cl2,,,2.235,3.19,0.021,-0.794,0.0,2.23,3.19,2.235,3.19,-5.269,-6.384,-7.499,-20.824,1.3877787807814457e-17,0.0,2.973
Te2Ga2,,,1.321,1.931,0.005999999999999998,-0.368,0.0,1.269,1.836,1.321,1.931,-3.894,-4.529,-5.164,-13.688000000000002,1.3877787807814457e-17,0.0,3.601
Cr2Se2Br2,,,0.179,1.116,0.006999999999999999,-0.7,1.0000000000000002,0.17900000000000005,1.009,0.17900000000000005,1.116,-5.654,-5.743,-5.833,-33.149,0.22,0.197,3.677
TiF2,,,1.462,2.44,0.087,-2.983,0.0,1.288,2.096,1.462,2.44,-3.801,-4.445,-5.089,-18.811,1.3877787807814457e-17,0.0,3.113
TeAsCl,2.596,2.819,1.745,2.387,0.009000000000000001,-0.322,0.0,1.479,2.147,1.745,2.387,-4.651,-5.39,-6.13,-10.618000000000002,1.3877787807814457e-17,0.0,3.124
AuSnF6,,,0.768,2.638,0.0,-1.94,1.0000000000000002,0.564,2.42,0.768,2.638,-7.319,-7.601,-7.883,-32.23,-2.304,-3.336,1.196
AgInP2S6,,,1.581,2.71,0.0,-0.327,0.0,1.317,2.365,1.581,2.71,-4.561,-5.219,-5.878,-44.072,1.3877787807814457e-17,0.0,2.003
Ge4P4S4,,,1.98,2.789,0.0,-0.19399999999999995,0.0,1.974,2.789,1.98,2.789,-4.097,-5.084,-6.071,-58.166,1.3877787807814457e-17,0.0,1.676
PtLi2O6H6,,,2.837,4.67,0.042,-1.172,0.0,2.833,4.67,2.837,4.67,-1.662,-3.0790000000000006,-4.495,-78.4,1.3877787807814457e-17,0.0,0.9489999999999998
Ni2Cu2Br6,,,0.647,3.154,0.006999999999999999,-0.359,1.0000000000000002,0.478,3.043,0.6469999999999999,3.154,-4.94,-5.179,-5.418,-34.943,-0.29600000000000004,-0.292,3.078
Cs2Os2S2N2F10,,,0.952,2.543,0.0,-1.801,1.0000000000000002,0.895,2.525,0.952,2.543,-4.722,-5.17,-5.617,-97.201,-1.601,-5.689,1.979
CoBr2,,,0.235,2.905,0.009000000000000001,-0.352,1.0000000000000002,0.17399999999999993,2.827,0.23499999999999988,2.905,-5.595,-5.682,-5.768,-12.454,-0.068,-0.06799999999999999,2.421
Ba4Sb4Se8F4,,,1.468,2.055,0.0,-1.769,0.0,1.386,2.045,1.468,2.055,-4.183,-4.876,-5.569,-94.534,1.3877787807814457e-17,0.0,3.499
In2F6,,,4.989,7.139,0.038,-2.589,0.0,4.962999999999999,7.139,4.989,7.139,-5.218,-7.699,-10.181,-35.755,1.3877787807814457e-17,0.0,2.182
BaI2,,,3.397,4.345,0.10499999999999998,-1.732,0.0,3.332,4.274,3.397,4.345,-3.302,-4.968,-6.635,-9.980000000000004,1.3877787807814457e-17,0.0,3.266
Sc2As2S6,,,1.512,2.144,0.091,-0.957,0.0,1.423,2.05,1.512,2.144,-4.311,-5.022,-5.734,-52.68,1.3877787807814457e-17,0.0,3.423
Pt2Nb2S10,,,0.0,,0.056,-0.597,0.0,0.0,0.521666666666667,0.0,0.5269999999999999,-5.405,-5.915,-5.55,-82.504,1.3877787807814457e-17,0.0,2.096
TlInCl6,,,2.56,3.724,0.0,-0.924,0.0,2.553,3.724,2.56,3.724,-5.594,-6.87,-8.146,-23.363,1.3877787807814457e-17,0.0,2.732
Rh4S6,,,0.594,1.228,0.084,-0.45,0.0,0.43999999999999995,1.161,0.594,1.228,-5.262,-5.482,-5.702,-57.557,1.3877787807814457e-17,0.0,5.331
Te2I2Sc2,,,1.122,2.217,0.028999999999999998,-1.232,0.0,1.122,2.216,1.122,2.217,-4.081,-4.642,-5.203,-26.08,1.3877787807814457e-17,0.0,3.506
Co2As2Se6,,,0.166,0.008,0.033,-0.21199999999999997,0.0,0.16599999999999993,0.004999999999999893,0.16599999999999993,0.008000000000000007,-4.729,-4.812,-4.895,-48.798,1.3877787807814457e-17,0.0,3.73
Ag4Br4O4H4,,,0.372,0.973,0.094,-0.49,0.0,0.33899999999999986,0.938,0.3719999999999999,0.9729999999999999,-5.776,-5.945,-6.115,-59.325,1.3877787807814457e-17,0.0,1.653
Au2I6Ni2,,,0.3,1.877,0.045,-0.07199999999999995,1.0000000000000002,0.09800000000000009,1.69,0.30000000000000004,1.877,-4.822,-4.871,-4.919,-30.342,-3.807,-3.808,3.578
Nb2K2Cl12,,,2.418,4.064,0.0,-1.5190000000000001,0.0,2.41,4.055,2.418,4.064,-5.425,-6.63,-7.835,-68.818,1.3877787807814457e-17,0.0,1.717
Tl2S2,1.591,1.659,0.695,1.17,0.12,-0.14400000000000002,0.0,0.628,1.106,0.6950000000000001,1.17,-5.671,-5.986,-6.3,-13.725999999999999,1.3877787807814457e-17,0.0,4.011
Bi4I4Ni2O6,,,0.605,3.263,0.069,-0.812,1.0000000000000002,0.605,3.236,0.605,3.263,-4.64,-4.943,-5.245,-82.842,-3.8250000000000006,-3.095,2.175
NiClF,,,1.311,4.826,0.063,-1.129,1.0000000000000002,1.223,4.493,1.311,4.826,-5.653,-6.265,-6.877,-14.006999999999998,-0.035,-0.03899999999999999,1.469
Ba4Sb4S8F4,,,2.032,2.81,0.0,-1.823,0.0,1.974,2.749,2.032,2.81,-3.772,-4.759,-5.746,-100.368,1.3877787807814457e-17,0.0,3.304
Mo2Te8Cr2,,,0.556,0.98,0.067,-0.18999999999999995,0.0,0.556,0.98,0.556,0.98,-4.199,-4.477,-4.755,-69.139,1.3877787807814457e-17,0.0,4.621
Cu2Br2S4,,,0.934,2.203,0.0,-0.22299999999999998,0.0,0.9339999999999999,2.203,0.934,2.203,-4.957,-5.424,-5.891,-28.62,1.3877787807814457e-17,0.0,2.548
I4Ti2Se4,,,0.684,2.035,0.0,-0.711,0.0,0.684,2.029,0.684,2.035,-4.847,-5.189,-5.531,-40.337,1.3877787807814457e-17,0.0,3.398
I2Co2F2,,,0.347,3.4,0.04,-0.922,1.0000000000000002,0.33899999999999986,3.356,0.347,3.4,-5.01,-5.179,-5.349,-28.118,-0.8559999999999999,-0.604,2.815
Hf2I5Br,,,0.461,1.177,0.041,-0.91,0.0,0.32600000000000007,1.023,0.4610000000000001,1.177,-3.879,-4.042,-4.204,-31.269,1.3877787807814457e-17,0.0,3.3
Te2Zn2,,,0.545,1.294,0.094,-0.378,0.0,0.545,1.294,0.545,1.294,-4.244,-4.516,-4.788,-10.292000000000002,1.3877787807814457e-17,0.0,3.361
Ga4Se6,,,0.999,1.56,0.068,-0.526,0.0,0.987,1.545,0.999,1.56,-4.968,-5.461,-5.955,-37.766,1.3877787807814457e-17,0.0,2.677
In2Te6Ni4,,,0.37,0.293,0.056,-0.19599999999999995,0.0,0.2869999999999999,0.29300000000000015,0.37,0.29300000000000015,-4.23,-4.373,-4.517,-56.097,1.3877787807814457e-17,0.0,1.854
Sr4As4Se8F4,,,1.356,1.976,0.0,-1.698,0.0,1.356,1.976,1.356,1.976,-4.386,-5.063,-5.741,-93.52,1.3877787807814457e-17,0.0,3.36
Mo2Br6NaO2,,,0.0,,0.0,-1.181,0.0,0.0,0.9016666666666668,0.0,0.9016666666666666,-5.249666666666666,-5.7,-5.659666666666666,-56.461,1.3877787807814457e-17,0.0,1.7
In2S2Cl2,,,2.329,3.523,0.028,-0.801,0.0,2.329,3.523,2.329,3.523,-5.5,-6.664,-7.829,-22.06,1.3877787807814457e-17,0.0,1.958
Nb2Pd4Se6,,,0.0,,0.063,-0.551,0.0,0.0,0.4750000000000001,0.0,0.48566666666666647,-5.1546666666666665,-5.106,-5.2700000000000005,-63.446,1.3877787807814457e-17,0.0,2.202
HfS2,2.938,3.832,1.946,3.059,0.0,-1.592,0.0,1.221,2.148,1.9460000000000002,3.059,-5.115,-5.726,-6.336,-20.439,1.3877787807814457e-17,0.0,3.761
Sn2SbS6,,,0.0,,0.042,-0.30200000000000005,0.0,0.0,0.9546666666666666,0.0,0.9883333333333333,-5.743666666666666,-5.733,-6.107,-39.704,1.3877787807814457e-17,0.0,1.953
Rh2Sb2S6,,,0.152,0.059,0.098,-0.307,0.0,0.1519999999999999,0.05900000000000016,0.1519999999999999,0.05900000000000016,-5.168,-5.244,-5.32,-50.643,1.3877787807814457e-17,0.0,3.698
Pd2Te2S6,,,1.008,1.839,0.056,-0.137,0.0,1.006,1.818,1.008,1.839,-3.825,-4.328,-4.831,-39.891,1.3877787807814457e-17,0.0,2.308
I4Al4S4,,,2.788,3.779,0.010000000000000002,-0.888,0.0,2.769,3.757,2.7880000000000003,3.779,-3.087,-4.471,-5.856,-47.837,1.3877787807814457e-17,0.0,1.886
Ta2Br4O2,,,0.996,1.928,0.0,-1.659,0.0,0.835,1.6999999999999997,0.996,1.928,-4.553,-4.97,-5.387,-49.492,1.3877787807814457e-17,0.0,1.835
Y2Se4Br4,,,1.444,2.157,0.035,-1.336,0.0,1.337,2.04,1.444,2.157,-4.749,-5.417,-6.086,-43.015,1.3877787807814457e-17,0.0,2.825
Cs2C2O6,,,1.1,2.737,0.0,-1.481,1.0000000000000002,1.048,2.664,1.1,2.737,-5.427,-5.951,-6.475,-65.659,-0.005000000000000018,0.0020000000000000018,1.372
VGa2Se4,,,0.0,,0.048,-0.612,1.0000000000000002,0.0,1.5043333333333333,0.0,1.5043333333333333,-4.350666666666667,-4.159,-4.469666666666667,-32.549,0.405,0.405,3.13
ScCl2,,,0.859,1.518,0.009000000000000001,-1.934,1.0000000000000002,0.10699999999999998,0.736,0.859,1.518,-4.003,-4.057,-4.11,-14.030999999999999,0.018000000000000002,0.018000000000000002,3.405
Re6Se8Br2,,,1.247,2.043,0.013999999999999999,-0.452,0.0,1.129,1.856,1.247,2.043,-5.082,-5.647,-6.211,-108.21100000000001,1.3877787807814457e-17,0.0,2.69
Zn2As4O8,,,3.813,5.138,0.0,-1.312,0.0,3.605,4.987,3.813,5.138,-2.448,-4.251,-6.053,-80.38,1.3877787807814457e-17,0.0,2.161
Te2Ti2C,,,0.0,,0.067,-0.678,0.0,0.0,0.48766666666666647,0.0,0.5100000000000002,-4.606,-4.399,-5.011333333333334,-32.396,1.3877787807814457e-17,0.0,6.571
Ga2Al2S6,,,2.924,3.879,0.0,-0.874,0.0,2.835,3.811,2.924,3.879,-3.92,-5.337,-6.755,-46.488,1.3877787807814457e-17,0.0,2.648
W2Mo2O8,,,1.517,2.353,0.0049999999999999975,-2.01,0.0,1.083,1.84,1.517,2.353,-5.441,-5.982,-6.523,-110.488,1.3877787807814457e-17,0.0,4.031
I2Se2Al2,,,1.493,2.239,0.061,-0.725,0.0,1.493,2.239,1.493,2.239,-4.159,-4.906,-5.652,-21.748,1.3877787807814457e-17,0.0,3.818
Se4Si4P4,,,2.14,2.972,0.012999999999999998,-0.277,0.0,1.992,2.829,2.14,2.972,-3.622,-4.618,-5.614,-60.309,1.3877787807814457e-17,0.0,1.729
Au6I6,,,1.711,2.508,0.072,-0.026000000000000023,0.0,1.507,2.232,1.711,2.508,-3.808,-4.562,-5.316,-27.96,1.3877787807814457e-17,0.0,2.923
In2Si2S6,,,2.071,2.871,0.031,-0.593,0.0,1.848,2.659,2.071,2.871,-4.535,-5.459,-6.383,-46.724,1.3877787807814457e-17,0.0,2.038
TlInCl6,,,2.56,3.724,0.0,-0.924,0.0,2.553,3.724,2.56,3.724,-5.594,-6.87,-8.146,-23.363,1.3877787807814457e-17,0.0,2.732
AgTe6AlP2,,,0.763,1.411,0.078,-0.06899999999999984,0.0,0.501,1.065,0.763,1.411,-4.175,-4.426,-4.676,-37.221,1.3877787807814457e-17,0.0,2.117
As2Si2Cl2,,,2.005,2.702,0.045,-0.524,0.0,2.003,2.701,2.005,2.702,-3.871,-4.872,-5.873,-26.837,1.3877787807814457e-17,0.0,2.985
MoAgBr4,,,0.447,2.171,0.04,-0.482,1.0000000000000002,0.44300000000000006,2.166,0.44700000000000006,2.171,-4.779,-5.001,-5.223,-23.272,-1.103,-0.023999999999999994,2.82
I6Mn2Cu2,,,1.168,3.783,0.013999999999999999,-0.304,1.0000000000000002,0.947,3.52,1.168,3.783,-4.159,-4.632,-5.106,-38.693,0.6239999999999999,0.625,3.369
Nb4I2Se12,,,0.641,1.041,0.019000000000000003,-0.623,0.0,0.577,1.033,0.641,1.041,-4.451,-4.739,-5.028,-97.275,1.3877787807814457e-17,0.0,1.886
ITiCl,1.383,1.557,0.842,1.187,0.118,-1.015,0.0,0.745,1.187,0.842,1.187,-3.21,-3.582,-3.955,-12.997,1.3877787807814457e-17,0.0,3.921
InMnBr6,,,0.428,1.769,0.0,-0.77,1.0000000000000002,0.3939999999999999,1.721,0.4279999999999998,1.769,-5.91,-6.107,-6.304,-28.144,-0.5470000000000002,-0.324,2.707
Pt4I8,,,1.264,2.274,0.0,-0.16800000000000004,0.0,1.225,2.212,1.264,2.274,-4.14,-4.752,-5.364,-39.259,1.3877787807814457e-17,0.0,1.595
Cd4Cl8,,,3.359,4.606,0.038,-1.079,0.0,3.359,4.606,3.359,4.606,-4.742,-6.422,-8.101,-30.942,1.3877787807814457e-17,0.0,3.244
Sn2Te2,1.009,1.032,0.628,0.94,0.063,-0.21499999999999997,0.0,0.603,0.897,0.628,0.94,-3.486,-3.788,-4.089,-15.384,1.3877787807814457e-17,0.0,3.59
SnTe,2.724,2.998,1.752,2.386,0.119,-0.15900000000000003,0.0,1.582,2.089,1.752,2.386,-3.384,-4.176,-4.967,-7.579999999999998,1.3877787807814457e-17,0.0,2.636
Rb2Se2Li2,,,1.268,2.01,0.042,-1.151,0.0,1.268,2.01,1.268,2.01,-0.9430000000000001,-1.577,-2.211,-19.47,1.3877787807814457e-17,0.0,1.939
TiBrCl,1.473,1.651,1.046,1.453,0.035,-1.326,0.0,0.83,1.297,1.046,1.453,-3.231,-3.646,-4.061,-14.037999999999997,1.3877787807814457e-17,0.0,3.71
Ta2Te4I4,,,0.622,1.214,0.055,-0.331,0.0,0.569,1.177,0.622,1.214,-4.061,-4.345,-4.63,-41.674,1.3877787807814457e-17,0.0,2.105
Zr2S4Cl4,,,1.672,2.852,0.0,-1.433,0.0,1.6,2.793,1.672,2.852,-4.634,-5.434,-6.234,-52.584,1.3877787807814457e-17,0.0,3.184
Pt2Te6,,,0.0,,0.176,-0.139,0.0,0.0,0.4166666666666665,0.0,0.7753333333333332,-4.446,-4.502,-4.621333333333333,-33.047,1.3877787807814457e-17,0.0,4.659
Zr2Br2N2,,,1.816,3.111,0.011,-1.703,0.0,1.816,3.111,1.816,3.111,-4.648,-5.556,-6.464,-44.899,1.3877787807814457e-17,0.0,4.257
Sb4Se6,,,1.51,2.215,0.051,-0.21199999999999997,0.0,1.389,2.061,1.51,2.215,-3.893,-4.587,-5.281,-40.646,1.3877787807814457e-17,0.0,1.476
Te2Ge2,1.286,1.361,0.872,1.14,0.054,-0.039000000000000035,0.0,0.815,1.103,0.872,1.14,-3.387,-3.795,-4.202,-15.597999999999995,1.3877787807814457e-17,0.0,3.573
As2Al2O6,,,4.653,5.995,0.0,-2.117,0.0,4.596,5.969,4.653,5.995,-1.2149999999999999,-3.514,-5.812,-68.72,1.3877787807814457e-17,0.0,3.304
Rh2F6,,,1.522,3.743,0.017999999999999995,-1.632,0.0,1.488,3.691,1.522,3.743,-5.943,-6.687,-7.43,-36.87,1.3877787807814457e-17,0.0,2.305
WMo3S8,,,1.559,2.076,0.0,-0.912,0.0,1.559,2.076,1.559,2.076,-4.237,-5.016,-5.796,-88.656,1.3877787807814457e-17,0.0,4.556
Os2Se4,,,0.917,1.7,0.0,-0.17300000000000004,0.0,0.567,1.389,0.917,1.6999999999999997,-4.241,-4.524,-4.808,-37.353,1.3877787807814457e-17,0.0,4.272
Sb4Cu2Br2S3,,,1.041,2.676,0.098,-0.21199999999999997,0.0,1.041,2.676,1.041,2.676,-3.733,-4.254,-4.774,-42.711,1.3877787807814457e-17,0.0,1.65
Pd2Br2Cl4,,,0.34,1.163,0.025,-0.362,1.0000000000000002,0.251,1.116,0.3400000000000001,1.163,-5.987,-6.113,-6.238,-20.842,-0.14399999999999996,-0.013999999999999999,2.779
PdNi2Br4Cl4,,,0.347,1.606,0.028999999999999998,-0.42299999999999993,1.0000000000000002,0.32200000000000006,1.604,0.347,1.606,-6.135,-6.295,-6.456,-36.446,-0.506,0.205,2.869
Au2C4O8F4,,,0.0,,0.025,-1.192,0.0,0.0,1.6936666666666667,0.0,1.7283333333333335,-5.655,-5.895,-6.044333333333333,-111.936,1.3877787807814457e-17,0.0,0.8799999999999999
Hf2Ge2Se8,,,1.154,1.784,0.022,-0.785,0.0,1.072,1.759,1.154,1.784,-4.059,-4.594,-5.13,-61.327,1.3877787807814457e-17,0.0,2.167
W2Mo2S8,,,1.532,2.062,0.0,-0.9,0.0,1.532,2.062,1.532,2.062,-4.172,-4.938,-5.704,-88.804,1.3877787807814457e-17,0.0,4.584
CdOFH,,,2.702,4.389,0.046,-1.505,0.0,2.702,4.389,2.702,4.389,-3.682,-5.033,-6.384,-16.981,1.3877787807814457e-17,0.0,1.057
Nb4Te8Ni8,,,0.0,,0.012,-0.409,0.0,0.0,0.38133333333333397,0.0,0.3813333333333335,-4.441333333333334,-4.392,-4.559666666666667,-133.11,1.3877787807814457e-17,0.0,3.015
V2Cl2O3,,,0.44,1.897,0.046,-1.89,1.0000000000000002,0.4119999999999999,1.856,0.43999999999999995,1.897,-5.302,-5.508,-5.714,-49.222,-0.01200000000000001,-0.007000000000000006,2.154
Se2Na2MgS8H4,,,2.111,3.128,0.08,-0.37400000000000005,0.0,2.104,3.123,2.111,3.128,-3.449,-4.501,-5.553,-63.479,1.3877787807814457e-17,0.0,1.579
Ir2Br2S2,,,0.383,1.2,0.0,-0.398,0.0,0.34399999999999986,1.178,0.383,1.2,-4.87,-5.042,-5.214,-32.265,1.3877787807814457e-17,0.0,4.135
Te2Ge2Al2,,,0.869,1.368,0.0,-0.281,0.0,0.869,1.368,0.869,1.368,-3.865,-4.3,-4.734,-24.603,1.3877787807814457e-17,0.0,2.79
In2P2S6,,,0.861,1.431,0.072,-0.318,0.0,0.839,1.395,0.861,1.431,-4.629,-5.048,-5.468,-43.908,1.3877787807814457e-17,0.0,3.444
In2S2Cl2,,,2.644,3.657,0.045,-0.785,0.0,2.643,3.649,2.644,3.657,-4.915,-6.236,-7.558,-21.96,1.3877787807814457e-17,0.0,3.105
V2CO2,,,0.0,,0.185,-1.437,0.0,0.0,0.4133333333333331,0.0,0.75,-6.045,-6.645,-6.453,-43.701,1.3877787807814457e-17,0.0,5.113
Sb2Mn2Se4Br2,,,0.091,,0.088,-0.375,1.0000000000000002,0.08299999999999996,1.1443333333333334,0.09099999999999997,1.1546666666666667,-4.217,-4.259,-4.3,-49.095,0.9259999999999999,3.612,1.642
HgBr2,,,2.791,3.928,0.0,-0.531,0.0,2.791,3.928,2.791,3.928,-4.321,-5.717,-7.113,-5.647999999999996,1.3877787807814457e-17,0.0,2.471
Sb4Ni2Cl4O6,,,1.244,4.289,0.024,-1.079,1.0000000000000002,1.23,4.289,1.244,4.289,-4.534,-5.149,-5.763,-87.267,-0.28,-0.105,1.893
RuBr2,2.403,2.403,1.05,2.542,0.187,-0.10099999999999998,0.0,1.045,2.542,1.05,2.542,-3.668,-4.19,-4.713,-12.936999999999998,1.3877787807814457e-17,0.0,3.303
Nb3SF7,,,0.964,1.872,0.009000000000000001,-2.721,0.0,0.964,1.872,0.964,1.872,-4.617,-5.098,-5.58,-76.095,1.3877787807814457e-17,0.0,1.55
Te2Fe5Ge,,,0.0,,0.051,-0.06699999999999995,1.0000000000000002,0.0,1.875,0.0,2.3583333333333334,-4.804333333333333,-4.362,-5.078666666666667,-56.673,0.047,0.081,6.694
