Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
Ta4Te8Ge2,,,0.468,0.572,0.0,-0.404,0.0,0.31099999999999994,0.44700000000000006,0.46799999999999997,0.5720000000000003,-4.107,-4.263,-4.418,-79.588,1.3877787807814457e-17,0.0,2.516
IBrMg,,,3.155,4.08,0.019000000000000003,-1.288,0.0,3.155,4.08,3.155,4.08,-2.73,-4.308,-5.885,-8.545000000000002,1.3877787807814457e-17,0.0,3.033
Ta2Te10Cr2,,,0.045,,0.005999999999999998,-0.267,1.0000000000000002,0.014000000000000012,0.2506666666666666,0.04500000000000015,0.2873333333333332,-4.243,-4.25,-4.256,-74.238,1.7740000000000002,1.474,2.738
W2I6,,,0.244,0.251,0.19,0.18999999999999995,0.0,0.2230000000000001,0.21099999999999985,0.244,0.2509999999999999,-3.811,-3.923,-4.034,-30.319000000000003,1.3877787807814457e-17,0.0,3.978
Mo2Cl6,,,0.736,1.546,0.0,-0.918,1.0000000000000002,0.639,1.546,0.736,1.546,-4.837,-5.156,-5.476,-40.462,0.101,0.21699999999999997,1.808
Pd2Se6,,,0.0,,0.092,-0.126,0.0,0.0,0.4596666666666669,0.0,0.609,-4.668666666666667,-4.809,-4.795,-29.546,1.3877787807814457e-17,0.0,4.159
Bi4Ca2O8,,,2.747,4.003,0.0,-1.757,0.0,2.568,3.923,2.747,4.003,-2.143,-3.427,-4.711,-88.307,1.3877787807814457e-17,0.0,2.308
Cs2N2O6,,,3.249,5.324,0.0,-1.067,0.0,3.249,5.324,3.249,5.324,-2.341,-3.965,-5.589,-59.784,1.3877787807814457e-17,0.0,1.395
Co4S8,,,0.383,0.781,0.071,-0.317,0.0,0.32200000000000006,0.6179999999999999,0.383,0.7809999999999999,-5.61,-5.771,-5.932,-69.34,1.3877787807814457e-17,0.0,3.685
Br2Al2S2,,,2.263,3.21,0.026,-1.092,0.0,2.263,3.21,2.263,3.21,-3.897,-5.029,-6.16,-25.351,1.3877787807814457e-17,0.0,3.532
PdS2,2.441,2.613,1.353,1.932,0.101,-0.19599999999999995,0.0,1.171,1.681,1.353,1.932,-5.121,-5.706,-6.292,-12.563000000000002,1.3877787807814457e-17,0.0,3.489
Ag4F8,,,0.325,1.637,0.017,-1.229,0.0,0.32499999999999996,1.637,0.32499999999999996,1.637,-6.978,-7.14,-7.303,-38.801,1.3877787807814457e-17,0.0,1.023
Sr2P4O12,,,5.088,6.875,0.091,-2.4129999999999994,0.0,5.087,6.874,5.088,6.875,-3.091,-5.635,-8.178,-129.73,1.3877787807814457e-17,0.0,1.541
Hf2IBr4Cl,,,0.522,1.311,0.0,-1.289,0.0,0.387,1.146,0.522,1.311,-3.904,-4.098,-4.291,-34.928,1.3877787807814457e-17,0.0,3.086
Ta2K2Cl12,,,2.894,4.447,0.0,-1.584,0.0,2.886,4.44,2.894,4.447,-5.013,-6.456,-7.899,-68.84,1.3877787807814457e-17,0.0,1.719
Ag4Se4Br4,,,0.781,1.213,0.07,-0.16800000000000004,0.0,0.781,1.213,0.781,1.213,-5.888,-6.279,-6.669,-33.65,1.3877787807814457e-17,0.0,1.713
Sr2I6Na2,,,3.815,4.712,0.055,-1.509,0.0,3.815,4.712,3.8150000000000004,4.712,-2.199,-4.106,-6.014,-29.921,1.3877787807814457e-17,0.0,2.523
Ba2AgI2O2,,,0.0,,0.0,-1.667,0.0,0.0,1.3193333333333332,0.0,1.3356666666666666,-5.299666666666667,-6.024,-5.846,-31.372,1.3877787807814457e-17,0.0,5.214
Hg2Ag2Te2Br2,,,1.393,2.257,0.006999999999999999,-0.29,0.0,1.393,2.257,1.393,2.257,-4.06,-4.757,-5.453,-19.348,1.3877787807814457e-17,0.0,1.508
Re4O8,,,1.403,2.244,0.092,-1.4340000000000002,0.0,1.304,2.098,1.403,2.244,-5.38,-6.032,-6.684,-104.83500000000001,1.3877787807814457e-17,0.0,3.843
MnAs2F12,,,1.862,4.176,0.0,-2.258,1.0000000000000002,1.846,4.161,1.862,4.176,-6.254,-7.177,-8.1,-71.959,-0.01200000000000001,-0.017,2.072
RhISe,,,1.1,1.98,0.065,-0.336,0.0,0.545,1.4249999999999998,1.1,1.98,-4.413,-4.685,-4.957,-13.117000000000004,1.3877787807814457e-17,0.0,3.798
Y2Br2S2,,,3.245,4.512,0.071,-2.016,0.0,3.076,4.219,3.245,4.512,-3.514,-5.051,-6.589,-32.806,1.3877787807814457e-17,0.0,2.704
Sb4Te6,,,0.937,1.499,0.093,-0.03200000000000003,0.0,0.796,1.327,0.937,1.499,-3.795,-4.193,-4.591,-37.169,1.3877787807814457e-17,0.0,1.568
VCuSe6P2,,,0.349,1.521,0.041,-0.274,1.0000000000000002,0.33499999999999996,1.5109999999999997,0.349,1.521,-4.724,-4.891,-5.059,-46.561,-0.06,-0.11899999999999998,2.033
Y2NF2,,,0.0,,0.032,-2.919,0.0,0.0,1.9996666666666667,0.0,2.2903333333333333,-3.4226666666666663,-3.065,-4.507333333333333,-35.505,1.3877787807814457e-17,0.0,4.254
NiC4N2O4H8,,,1.326,4.409,0.135,-0.557,1.0000000000000002,1.326,4.256,1.326,4.409,-3.567,-4.23,-4.892,-118.513,-0.08400000000000002,0.064,0.976
Ag2Ca2Br6,,,3.109,4.387,0.0010000000000000009,-1.394,0.0,3.109,4.387,3.109,4.387,-3.65,-5.205,-6.759,-33.151,1.3877787807814457e-17,0.0,2.822
Sn2S2,2.503,2.665,1.587,2.17,0.043,-0.415,0.0,1.414,1.987,1.587,2.17,-3.241,-3.948,-4.655,-17.927999999999997,1.3877787807814457e-17,0.0,3.313
Cu2Cl2O4,,,0.543,1.304,0.034,-0.296,0.0,0.45199999999999996,1.287,0.543,1.304,-6.113,-6.339,-6.565,-33.79,1.3877787807814457e-17,0.0,2.029
Cu2S2,1.584,2.009,1.082,1.803,0.127,-0.08599999999999997,0.0,0.624,1.311,1.082,1.803,-5.273,-5.584,-5.896,-15.850999999999999,1.3877787807814457e-17,0.0,2.386
HfNiF6,,,1.924,6.188,0.024,-3.035,1.0000000000000002,1.91,6.181,1.924,6.188000000000001,-5.686,-6.641,-7.596,-48.551,-0.032,-0.02700000000000001,2.208
