Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Layer group,Direct band gap (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],Energy [eV],Band gap (HSE06) [eV],Band gap (PBE) [eV]
V2Cl2C,0.023,-0.895,p-3m1,0,-4.657,-34.311,,0
Y2I2C2,0,-0.904,c2/m11,0,-4.415,-36.205,,0
Y2Cl2C,0,-1.587,p-3m1,0.982,-5.295,-30.108,1.763,0.961
CoS4C4N2H8,0.091,-0.157,p112/m,0,-4.591,-107.694,,0
Zr2Cl2C,0,-1.548,p-3m1,0,-4.253,-35.337,,0
NiC4N2O4H8,0.135,-0.557,p112/m,1.326,-4.23,-118.513,4.256,1.326
Hf2CF2,0.04,-2.26,p-3m1,0,-3.63,-38.707,,0
Au2C4O8F4,0.025,-1.192,p2_1/b11,0,-5.895,-111.936,,0
CdCl2C4N2H4,0.141,-0.27,p2/m11,2.318,-5.242,-74.89,3.619,2.176
Sc2CF2,0,-2.541,p-3m1,1.425,-4.516,-34.419,2.067,1.02
Ti2CF2,0,-2.274,p-3m1,0,-4.804,-37.143,,0
V2CF2,0.079,-1.724,p-3m1,0,-5.383,-38.059,,0
Y2CF2,0,-2.497,p-3m1,1.289,-3.69,-34.261,1.966,1.117
Zr2CF2,0,-2.363,p-3m1,0,-3.906,-39.012,,0
Hf2CH2,0.082,-0.588,p-3m1,0,-3.426,-33.82,,0
Sc2CH2,0.071,-0.546,p-3m1,1.16,-4.573,-27.917,2.009,1.01
Ti2CH2,0.053,-0.586,p-3m1,0,-4.077,-32.176,,0
Zr2CH2,0.095,-0.627,p-3m1,0,-3.652,-33.807,,0
Hf2CO2,0.168,-2.307,p-3m1,2.036,-4.879,-46.017,1.681,0.938
Hf2Se2C,0.098,-1.076,p-3m1,0,-5.696,-36.578,,0
Hf2Te2C,0.092,-0.771,p-3m1,0,-4.534,-34.497,,0
I2Sc2C,0,-0.931,p-3m1,0,-4.512,-26.149,0.759,0
Zr2I2C,0,-0.933,p-3m1,0,-3.722,-31.646,,0
Mo2Se2C,0.153,-0.333,p-3m1,0,-4.811,-40.254,,0
Nb2CO2,0.11,-1.728,p-3m1,0,-5.76,-48.758,,0
