Feature,RF Importance,XGB Importance,MLP Importance,Avg Importance
Energy above hull [eV/atom],0.001061593581164471,0.0061949263,0.027100754006897352,0.011452424640248066
Heat of formation [eV/atom],0.006168976200544635,0.019869471,0.07380043772973192,0.033279628299706356
Layer group,0.0008951614510701984,0.0035117604,0.039196454775641695,0.014534458870185424
Direct band gap (PBE) [eV],0.8767779645573424,0.90220594,0.7007184816425112,0.8265674634203776
Fermi level wrt. vacuum (PBE) [eV],0.004328873142107212,0.005309895,0.00864844136567778,0.006095736551474382
Energy [eV],0.0030259707959679207,0.049980085,0.03996368466473492,0.030989913601275107
Band gap (HSE06) [eV],0.10774146027180334,0.012927833,0.11057174581480518,0.07708034636661502
